username,handle,postDate,responding,retweets,likes
Phil ▴,@philleshy,2023-07-07T02:49:16.000Z,"@IndiHome min, dm kok gk dibales bales, udah 10 menit nih ",,
Diantf,@DianatulFitriy2,2023-07-07T02:39:59.000Z,"@IndiHome wifiku gabisa dari kemaren, udah dihubungi blm diperbaiki. makasih @XLAxiata_Tbk selalu ada 358",,
Upit Haryanto,@upithaye,2023-07-07T02:21:13.000Z,ini @IndiHome dan @IndiHomeCare ga ada tukar point 7.7 ?  tumben banget. kan mayan potongan 50K tagihan 1101,,
IndiHome,@IndiHome,2023-07-07T01:02:39.000Z,"Replying to @IndiHome Cuss langsung langganan Paket JITU, info selengkapnya cek di http://myih.ch/paket-jitu #IndiHomebyTelkomsel#BersatuLebihMudah",1.0,2.0
IndiHome,@IndiHome,2023-07-07T01:02:37.000Z,"Ayo serbu, cara JITU untuk Sobat yang internetan melulu! Mulai dari Rp280 ribu per bulan, Sobat bisa dapetin akses internet hingga 50Mbps dan berlangganan Disney+ Hotstar. 0:14",1.0,3.0
ARDIL_ENTERTAINMENT,@arvan_air,2023-07-07T00:50:13.000Z,pingin buka wa malah wi-fi-nya error gimana sih @IndiHome 2123,,
Bank Jago,@jadijago,2023-07-06T23:07:09.000Z,"Replying to @Irxkxndji and @IndiHome Hai, Kak. Maaf banget ya atas kendala yang di alami. Agar Jagomin cek status laporan kamu, Berkenan menginformasikan nomor laporan kamu melalui DM? Terima kasih.",,
Anggra Okthora,@Pendamba_Surga,2023-07-06T22:22:00.000Z,"Min @IndiHomeCare @IndiHome , kok ada tagihan a.n Istikomah masuk ke email dan wa saya ya? (Di gambar pertama). Padahal paket indihome saya bukan itu, bukti saya lampirkan di gambar kedua ",,
KOSTER HATE ACCOUNT,@VictorLUHG,2023-07-06T18:14:37.000Z,fix your signal pal i am not finished watching eva elfie @IndiHome @IndiHomeCare 1753,,
Fatih Ahmad,@fatih18ahmd,2023-07-06T18:08:27.000Z,@indihome lag min koneksinya 385,,
Ubiquotous,@UbiquitousSon,2023-07-06T17:22:30.000Z,"Replying to @haemaniezz and @IndiHome Baru mau masang indie home ni,, saran dari kamu gimana?",,
julywin,@cacharangking2,2023-07-06T17:17:05.000Z,"@indihome tolong jaringan q down di 7.7 hadehhhhhhhhhhhh, mau co shopeee 2128",,
Adhiesoepri,@adhiesoepri,2023-07-06T16:36:00.000Z,Ini kenapa lemot Bgt yaa @IndiHome sumpah 1201,,
FA,@nilafahma,2023-07-06T16:00:18.000Z,"@IndiHome , ini internet kenapa sik? Kenapa light LOS gw nyala mulu, udah di restart berulang”. 5117",,
トリアス • アルノ推し◢④⑥,@Trias0405,2023-07-06T15:40:21.000Z,@IndiHome ngentod nih 180,,
𖤐,@wzonyx,2023-07-06T15:23:35.000Z,@indihome lemot banget kontol 2101,,
arya,@aryaanindriann,2023-07-06T14:40:54.000Z,"p, @IndiHome @IndiHomeCare kok los sehhh 1107",,
Bench Rosh,@el_Roshid,2023-07-06T14:10:39.000Z,@IndiHomeCare @IndiHome jaringan saya putus2 lagi. Tolong segera diperbaiki! Refresh jaringan saya sekarang. 179,,
ale,@globiess,2023-07-06T14:09:23.000Z,"@indihome sya tiap mlem knapa lag trus, mau nonton windah gk bisa bisa 4102",,
Bumi Makmur,@BumiMakmur2,2023-07-06T13:52:16.000Z,Replying to @babaudin_ @kegblgnunfaedh and @IndiHome Ajig hahaha,,
Ilham Zaky,@IlhamZaky18,2023-07-06T13:17:23.000Z,"Ganti peovider lain apa ya, udah sering lemot, pas gangguan buat pengaduan responnya lama banget @IndiHome @IndiHomeCare 291",,
Aresia Sera,@SeraSYN,2023-07-06T13:15:31.000Z,@IndiHome min cek DM 140,,
Raini.,@leemonates,2023-07-06T13:06:21.000Z,"minn wifinya ga jalannn, udah dm ga dibalas balass @IndiHome @IndiHomeCare ",,
LongSongLong,@Ahb79520371,2023-07-06T12:35:50.000Z,@IndiHome cek dm min 157,,
Nugroho,@nugrophile,2023-07-06T12:29:26.000Z,"Replying to @defbogar13 @hllkirom and @IndiHome Kalo sebelumnya sih habis direset langsung bisa, tapi habis beberapa hari langsung kembali ngk bisa lagi.",,
